"","ensembl_gene_id_version","gene_biotype"
"1","ENSG00000210049.1","Mt_tRNA"
"2","ENSG00000211459.2","Mt_rRNA"
"3","ENSG00000210077.1","Mt_tRNA"
"4","ENSG00000210082.2","Mt_rRNA"
"5","ENSG00000209082.1","Mt_tRNA"
"6","ENSG00000198888.2","protein_coding"
"7","ENSG00000210100.1","Mt_tRNA"
"8","ENSG00000210107.1","Mt_tRNA"
"9","ENSG00000210112.1","Mt_tRNA"
"10","ENSG00000198763.3","protein_coding"
"11","ENSG00000210117.1","Mt_tRNA"
"12","ENSG00000210127.1","Mt_tRNA"
"13","ENSG00000210135.1","Mt_tRNA"
"14","ENSG00000210140.1","Mt_tRNA"
"15","ENSG00000210144.1","Mt_tRNA"
"16","ENSG00000198804.2","protein_coding"
"17","ENSG00000210151.2","Mt_tRNA"
"18","ENSG00000210154.1","Mt_tRNA"
"19","ENSG00000198712.1","protein_coding"
"20","ENSG00000210156.1","Mt_tRNA"
"21","ENSG00000228253.1","protein_coding"
"22","ENSG00000198899.2","protein_coding"
"23","ENSG00000198938.2","protein_coding"
"24","ENSG00000210164.1","Mt_tRNA"
"25","ENSG00000198840.2","protein_coding"
"26","ENSG00000210174.1","Mt_tRNA"
"27","ENSG00000212907.2","protein_coding"
"28","ENSG00000198886.2","protein_coding"
"29","ENSG00000210176.1","Mt_tRNA"
"30","ENSG00000210184.1","Mt_tRNA"
"31","ENSG00000210191.1","Mt_tRNA"
"32","ENSG00000198786.2","protein_coding"
"33","ENSG00000198695.2","protein_coding"
"34","ENSG00000210194.1","Mt_tRNA"
"35","ENSG00000198727.2","protein_coding"
"36","ENSG00000210195.2","Mt_tRNA"
"37","ENSG00000210196.2","Mt_tRNA"
"38","ENSG00000299200.1","lncRNA"
"39","ENSG00000308964.1","lncRNA"
"40","ENSG00000303867.1","lncRNA"
"41","ENSG00000271254.7","protein_coding"
"42","ENSG00000278625.1","snRNA"
"43","ENSG00000278704.1","protein_coding"
"44","ENSG00000297432.1","lncRNA"
"45","ENSG00000297449.1","lncRNA"
"46","ENSG00000299314.1","lncRNA"
"47","ENSG00000303902.1","lncRNA"
"48","ENSG00000277630.4","protein_coding"
"49","ENSG00000278457.1","rRNA"
"50","ENSG00000278573.1","pseudogene"
"51","ENSG00000298469.1","lncRNA"
"52","ENSG00000306528.1","lncRNA"
"53","ENSG00000295160.1","lncRNA"
"54","ENSG00000296348.1","lncRNA"
"55","ENSG00000277400.1","protein_coding"
"56","ENSG00000307824.1","lncRNA"
"57","ENSG00000306901.1","lncRNA"
"58","ENSG00000278633.1","protein_coding"
"59","ENSG00000304745.1","lncRNA"
"60","ENSG00000276197.1","misc_RNA"
"61","ENSG00000297972.1","lncRNA"
"62","ENSG00000300519.1","lncRNA"
"63","ENSG00000304422.1","lncRNA"
"64","ENSG00000278294.1","rRNA"
"65","ENSG00000274917.1","rRNA"
"66","ENSG00000294644.1","lncRNA"
"67","ENSG00000278066.1","pseudogene"
"68","ENSG00000307034.1","lncRNA"
"69","ENSG00000296902.1","lncRNA"
"70","ENSG00000273730.1","rRNA"
"71","ENSG00000274847.1","protein_coding"
"72","ENSG00000277196.4","protein_coding"
"73","ENSG00000273937.1","misc_RNA"
"74","ENSG00000308580.1","lncRNA"
"75","ENSG00000295378.1","lncRNA"
"76","ENSG00000296546.1","lncRNA"
"77","ENSG00000297619.1","lncRNA"
"78","ENSG00000298772.1","lncRNA"
"79","ENSG00000300051.1","lncRNA"
"80","ENSG00000296713.1","lncRNA"
"81","ENSG00000305511.1","lncRNA"
"82","ENSG00000306721.1","lncRNA"
"83","ENSG00000277428.1","misc_RNA"
"84","ENSG00000276256.1","protein_coding"
"85","ENSG00000278793.1","snRNA"
"86","ENSG00000305525.1","lncRNA"
